alpha f_obj ILD Precision Recall F1_mesure MAP rmsde algo m

0.5 personalized 0.3967 0.0312 0.0242 0.0273 0.0878 0.1981 CBF 50
0.5 classic 0.3967 0.0313 0.0242 0.0273 0.0878 0.1981 CBF 50
0.5 personalized 0.5324 0.0828 0.0565 0.0672 0.1819 0.0661 CBF-TopPopular 50
0.5 classic 0.5361 0.083 0.057 0.0676 0.1798 0.0655 CBF-TopPopular 50
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 50
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 50
0.5 personalized 0.6031 0.0178 0.0115 0.014 0.0421 0.0329 IBCF 50
0.5 classic 0.8287 0.0134 0.0082 0.0102 0.0385 0.244 IBCF 50
0.5 personalized 0.5658 0.0881 0.0627 0.0733 0.1845 0.0416 KGE 50
0.5 classic 0.6185 0.0879 0.0621 0.0728 0.1831 0.0813 KGE 50
0.5 personalized 0.5933 0.0422 0.0301 0.0351 0.0951 0.0174 SVD 50
0.5 classic 0.8049 0.0326 0.0221 0.0263 0.0855 0.2205 SVD 50
0.5 personalized 0.5832 0.0796 0.0523 0.0631 0.1702 0.0139 TopPopular 50
0.5 classic 0.696 0.0771 0.0503 0.0609 0.1658 0.1186 TopPopular 50

0.5 personalized 0.4478 0.0282 0.0208 0.0239 0.084 0.1483 CBF 100
0.5 classic 0.448 0.0282 0.0208 0.0239 0.0839 0.1483 CBF 100
0.5 personalized 0.5642 0.0779 0.0536 0.0635 0.1764 0.0348 CBF-TopPopular 100
0.5 classic 0.5759 0.077 0.0532 0.0629 0.1745 0.0388 CBF-TopPopular 100
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 100
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 100
0.5 personalized 0.6006 0.0173 0.0111 0.0135 0.0417 0.0298 IBCF 100
0.5 classic 0.85 0.0127 0.0077 0.0096 0.0371 0.2655 IBCF 100
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 100
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 100
0.5 personalized 0.5922 0.0422 0.0301 0.0351 0.0953 0.0138 SVD 100
0.5 classic 0.8225 0.0319 0.0218 0.0259 0.0852 0.2375 SVD 100
0.5 personalized 0.5835 0.0797 0.0524 0.0632 0.1702 0.0133 TopPopular 100
0.5 classic 0.7675 0.0732 0.0476 0.0577 0.1605 0.1853 TopPopular 100

0.5 personalized 0.479 0.0258 0.0192 0.022 0.0791 0.1181 CBF 150
0.5 classic 0.4797 0.0258 0.019 0.0219 0.0787 0.1183 CBF 150
0.5 personalized 0.5774 0.0749 0.0525 0.0617 0.1756 0.0201 CBF-TopPopular 150
0.5 classic 0.5993 0.0731 0.0516 0.0605 0.1719 0.0362 CBF-TopPopular 150
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 150
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 150
0.5 personalized 0.6003 0.0172 0.0113 0.0136 0.0419 0.0295 IBCF 150
0.5 classic 0.8582 0.0126 0.0078 0.0096 0.037 0.2741 IBCF 150
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 150
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 150
0.5 personalized 0.592 0.0422 0.0302 0.0352 0.0954 0.0128 SVD 150
0.5 classic 0.8287 0.0314 0.0216 0.0256 0.0842 0.2437 SVD 150
0.5 personalized 0.5835 0.0797 0.0524 0.0632 0.1702 0.0133 TopPopular 150
0.5 classic 0.7772 0.0729 0.0475 0.0575 0.1594 0.1931 TopPopular 150

0.5 personalized 0.5017 0.0242 0.017 0.02 0.0766 0.0963 CBF 200
0.5 classic 0.5033 0.0242 0.017 0.02 0.0763 0.0968 CBF 200
0.5 personalized 0.5833 0.0739 0.0519 0.061 0.1746 0.0125 CBF-TopPopular 200
0.5 classic 0.6155 0.0709 0.0507 0.0591 0.171 0.0428 CBF-TopPopular 200
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 200
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 200
0.5 personalized 0.6003 0.0174 0.0113 0.0137 0.042 0.0294 IBCF 200
0.5 classic 0.8621 0.0124 0.0076 0.0094 0.0365 0.2783 IBCF 200
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 200
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 200
0.5 personalized 0.5918 0.0421 0.0301 0.0351 0.0953 0.0122 SVD 200
0.5 classic 0.8337 0.0312 0.0215 0.0255 0.084 0.2487 SVD 200
0.5 personalized 0.5835 0.0797 0.0524 0.0632 0.1702 0.0133 TopPopular 200
0.5 classic 0.7804 0.0727 0.0475 0.0575 0.1589 0.1962 TopPopular 200

0.5 personalized 0.5195 0.0229 0.0162 0.019 0.0749 0.0792 CBF 250
0.5 classic 0.5224 0.0229 0.0162 0.019 0.0751 0.0803 CBF 250
0.5 personalized 0.5857 0.0728 0.0507 0.0598 0.1743 0.0086 CBF-TopPopular 250
0.5 classic 0.6284 0.0676 0.0493 0.057 0.1677 0.0513 CBF-TopPopular 250
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 250
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 250
0.5 personalized 0.6003 0.0173 0.0113 0.0137 0.042 0.0294 IBCF 250
0.5 classic 0.8645 0.0123 0.0077 0.0095 0.0362 0.281 IBCF 250
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 250
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 250
0.5 personalized 0.5918 0.0421 0.03 0.035 0.0953 0.0119 SVD 250
0.5 classic 0.8369 0.031 0.0214 0.0253 0.0835 0.2519 SVD 250
0.5 personalized 0.5835 0.0797 0.0524 0.0632 0.1702 0.0133 TopPopular 250
0.5 classic 0.785 0.0723 0.0473 0.0572 0.1582 0.2008 TopPopular 250

0.5 personalized 0.5341 0.0229 0.0167 0.0193 0.0733 0.065 CBF 300
0.5 classic 0.5386 0.0226 0.0167 0.0192 0.0731 0.0672 CBF 300
0.5 personalized 0.5867 0.0727 0.0507 0.0597 0.1748 0.007 CBF-TopPopular 300
0.5 classic 0.6393 0.0662 0.0479 0.0556 0.1663 0.06 CBF-TopPopular 300
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 300
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 300
0.5 personalized 0.6002 0.0172 0.0112 0.0136 0.0416 0.0294 IBCF 300
0.5 classic 0.8659 0.0123 0.0076 0.0094 0.036 0.2825 IBCF 300
0.5 personalized 0.5661 0.0881 0.0627 0.0733 0.1845 0.0411 KGE 300
0.5 classic 0.6201 0.0879 0.0622 0.0728 0.1831 0.0818 KGE 300
0.5 personalized 0.5918 0.0421 0.03 0.035 0.0953 0.0119 SVD 300
0.5 classic 0.8383 0.031 0.0214 0.0253 0.0834 0.2533 SVD 300
0.5 personalized 0.5835 0.0796 0.0524 0.0632 0.1702 0.0133 TopPopular 300
