alpha f_obj ILD Precision Recall F1_mesure MAP rmsde algo r2
0 personalized 0.2761 0.0322 0.0259 0.0287 0.0849 0.317 CBF 0.060511
0.1 personalized 0.3065 0.0332 0.0263 0.0293 0.0873 0.2867 CBF 0.158537
0.2 personalized 0.3656 0.0338 0.0267 0.0298 0.0891 0.2277 CBF 0.317130
0.3 personalized 0.4325 0.0311 0.025 0.0277 0.0851 0.1622 CBF 0.212179
0.4 personalized 0.4452 0.0287 0.022 0.0249 0.0848 0.1506 CBF 0.130267
0.5 personalized 0.4478 0.0282 0.0208 0.0239 0.084 0.1483 CBF 0.120744
0.6 personalized 0.4486 0.0278 0.0206 0.0237 0.0836 0.1475 CBF 0.119216
0.7 personalized 0.449 0.0275 0.0204 0.0234 0.0833 0.1472 CBF 0.118141
0.8 personalized 0.4492 0.0273 0.0201 0.0232 0.0828 0.147 CBF 0.117753
0.9 personalized 0.4494 0.0272 0.02 0.0231 0.0824 0.1468 CBF 0.117436
1 personalized 0.4495 0.0276 0.0202 0.0233 0.0828 0.1467 CBF 0.117439

0 classic 0.2761 0.0322 0.0259 0.0287 0.0849 0.317 CBF 0.060511
0.1 classic 0.3065 0.0332 0.0263 0.0293 0.0873 0.2867 CBF 0.158362
0.2 classic 0.3657 0.0337 0.0266 0.0297 0.0889 0.2277 CBF 0.314787
0.3 classic 0.4326 0.031 0.0247 0.0275 0.0847 0.1622 CBF 0.206571
0.4 classic 0.4455 0.0288 0.0225 0.0253 0.0849 0.1506 CBF 0.117490
0.5 classic 0.448 0.0282 0.0208 0.0239 0.0839 0.1483 CBF 0.106661
0.6 classic 0.4488 0.0278 0.0207 0.0237 0.0838 0.1476 CBF 0.104659
0.7 classic 0.4492 0.0276 0.0205 0.0235 0.0834 0.1472 CBF 0.103636
0.8 classic 0.4495 0.0273 0.0201 0.0232 0.0828 0.147 CBF 0.103061
0.9 classic 0.4496 0.0272 0.0201 0.0231 0.0825 0.1468 CBF 0.102736
1 classic 0.4497 0.0277 0.0204 0.0235 0.0828 0.1467 CBF 0.102517

0 personalized 0.3988 0.0869 0.0608 0.0715 0.1889 0.1966 CBF-TopPopular 0.036187
0.1 personalized 0.4434 0.09 0.0622 0.0736 0.1906 0.1526 CBF-TopPopular 0.104446
0.2 personalized 0.4972 0.0906 0.0638 0.0749 0.1881 0.1001 CBF-TopPopular 0.223645
0.3 personalized 0.5337 0.0877 0.0616 0.0724 0.1851 0.0649 CBF-TopPopular 0.367104
0.4 personalized 0.5551 0.0835 0.0582 0.0686 0.1813 0.0438 CBF-TopPopular 0.550275
0.5 personalized 0.5642 0.0779 0.0536 0.0635 0.1764 0.0348 CBF-TopPopular 0.648500
0.6 personalized 0.5677 0.0745 0.051 0.0605 0.1754 0.0312 CBF-TopPopular 0.690958
0.7 personalized 0.5692 0.073 0.0498 0.0592 0.1737 0.0298 CBF-TopPopular 0.707090
0.8 personalized 0.5699 0.0704 0.0484 0.0574 0.1709 0.0292 CBF-TopPopular 0.712992
0.9 personalized 0.5702 0.0692 0.0466 0.0557 0.1685 0.0289 CBF-TopPopular 0.715500
1 personalized 0.5703 0.0668 0.0445 0.0534 0.1646 0.0289 CBF-TopPopular 0.714223

0 classic 0.3988 0.0869 0.0608 0.0715 0.1889 0.1966 CBF-TopPopular 0.036187
0.1 classic 0.4435 0.09 0.0622 0.0736 0.1906 0.1526 CBF-TopPopular 0.099417
0.2 classic 0.4982 0.0902 0.0632 0.0743 0.1874 0.0996 CBF-TopPopular 0.188486
0.3 classic 0.5382 0.0873 0.0618 0.0724 0.1831 0.0637 CBF-TopPopular 0.217947
0.4 classic 0.5641 0.0822 0.0574 0.0676 0.1782 0.0448 CBF-TopPopular 0.219158
0.5 classic 0.5759 0.077 0.0532 0.0629 0.1745 0.0388 CBF-TopPopular 0.218120
0.6 classic 0.581 0.0739 0.0502 0.0598 0.1734 0.0371 CBF-TopPopular 0.218478
0.7 classic 0.5829 0.0723 0.0489 0.0583 0.1724 0.0366 CBF-TopPopular 0.220129
